ssn,name,role,rank,license,address,phonenumber,email
3009907469,William Carillo,Pilot,Captain,NAFokkerF100,Fellsmúli 1,8998801,william.Carillo@gmail.com
2910858779,Virginia Ho,Pilot,Captain,NABAE146,Fellsmúli 2,8998802,virginia.Ho@gmail.com
2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100,Fellsmúli 3,8998803,gerard.Nelson@gmail.com
2209955789,Allen Ley,Pilot,Captain,NABAE146,Fellsmúli 4,8998804,allen.Ley@gmail.com
2907675669,Felecia Moye,Pilot,Captain,NABAE146,Fellsmúli 5,8998805,felecia.Moye@gmail.com
1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28,Fellsmúli 6,8998806,tyler.Anderson@gmail.com
2410876599,Nan Gage,Pilot,Copilot,NAFokkerF100,Fellsmúli 7,8998807,nan.Gage@gmail.com
2211658139,Charla Johnson,Pilot,Copilot,NABAE146,Fellsmúli 8,8998808,charla.Johnson@gmail.com
2504939269,Sam Preciado,Pilot,Copilot,NABAE146,Fellsmúli 9,8998809,sam.Preciado@gmail.com
1900769529,Jasmine Hagadone,Pilot,Copilot,NABAE146,Fellsmúli 10,8998810,jasmine.Hagadone@gmail.com
2500812679,Anna Phillips,Pilot,Copilot,NAFokkerF28,Fellsmúli 11,8998811,anna.Phillips@gmail.com
1309927229,Patricia Bates,Pilot,Copilot,NAFokkerF28,Fellsmúli 12,8998812,patricia.Bates@gmail.com
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,N/A,Fellsmúli 13,8998813,sherry.Walker@gmail.com
3037581679,Margarita Fischer,Cabincrew,Flight Service Manager,N/A,Fellsmúli 14,8998814,margarita.Fischer@gmail.com
2200763829,Judith Aleshire,Cabincrew,Flight Service Manager,N/A,Fellsmúli 15,8998815,judith.Aleshire@gmail.com
1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,N/A,NOCCO,8998816,jacob.Blecha@gmail.com
1405853589,Lula Stefani,Cabincrew,Flight Service Manager,N/A,Fellsmúli 17,8998817,lula.Stefani@gmail.com
9098628789,Richard Sanders,Cabincrew,Flight Service Manager,N/A,Fellsmúli 18,8998818,richard.Sanders@gmail.com
1811931549,John Kline,Cabincrew,Flight Service Manager,N/A,Fellsmúli 19,8998819,john.Kline@gmail.com
4098587979,Evelyn Pickhardt,Cabincrew,Flight Service Manager,N/A,Fellsmúli 20,8998820,evelyn.Pickhardt@gmail.com
3002688729,Stacey Henrickson,Cabincrew,Flight Attendant,N/A,Fellsmúli 21,8998821,stacey.Henrickson@gmail.com
3003962189,Delores Whitfield,Cabincrew,Flight Attendant,N/A,Fellsmúli 22,8998822,delores.Whitfield@gmail.com
1311772229,Maribel Lucero,Cabincrew,Flight Attendant,N/A,Fellsmúli 23,8998823,maribel.Lucero@gmail.com
2509913419,Katherine Wernimont,Cabincrew,Flight Attendant,N/A,Fellsmúli 24,8998824,katherine.Wernimont@gmail.com
1103647759,Wilma Horne,Cabincrew,Flight Attendant,N/A,Fellsmúli 25,8998825,wilma.Horne@gmail.com
2807755849,Bernard Carr,Cabincrew,Flight Attendant,N/A,Fellsmúli 26,8998826,bernard.Carr@gmail.com
4099072129,Sara Davis,Cabincrew,Flight Attendant,N/A,Fellsmúli 27,8998827,sara.Davis@gmail.com
1103912139,Robert Swope,Cabincrew,Flight Attendant,N/A,Fellsmúli 28,8998828,robert.Swope@gmail.com
2801645559,John Iversen,Cabincrew,Flight Attendant,N/A,Fellsmúli 29,8998829,john.Iversen@gmail.com
1501681499,Rhonda Forman,Cabincrew,Flight Attendant,N/A,Fellsmúli 30,8998830,rhonda.Forman@gmail.com
1811813379,Melissa Paquette,Cabincrew,Flight Attendant,N/A,Fellsmúli 31,8998831,melissa.Paquette@gmail.com
5059429249,Carlton Chan,Cabincrew,Flight Attendant,N/A,Fellsmúli 32,8998832,carlton.Chan@gmail.com
1110732819,Arthur Karr,Cabincrew,Flight Attendant,N/A,Fellsmúli 33,8998833,arthur.Karr@gmail.com
2602806949,Teresa Thruman,Cabincrew,Flight Attendant,N/A,Fellsmúli 34,8998834,teresa.Thruman@gmail.com
1107951959,Elizabeth Mcfadden,Cabincrew,Flight Attendant,N/A,Fellsmúli 35,8998835,elizabeth.Mcfadden@gmail.com
